@relation train_model

@attribute numHashtags numeric
@attribute numUpperCases numeric
@attribute numUrls numeric
@attribute sentimentScore numeric
@attribute cntFollowers numeric
@attribute cntFriends numeric
@attribute followers2friends numeric
@attribute diffInDays numeric
@attribute cntLists numeric
@attribute cntPosts numeric
@attribute cntAdjective numeric
@attribute cntAdverbs numeric
@attribute cntVerbs numeric
@attribute meanWordsPerSentence numeric
@attribute meanWordLength numeric
@attribute class {normal,spam,aggressive,bully}

@data
1,4.857143,0,2,91,183,0.497268,427,2,15250,6,4,7,13.286,8.011,normal
1,2.2,2,2,12211,6536,1.868268,639,88,16130,8,7,6,12.6,7.393,spam
1,1.6,0.2,2,69,670,0.102985,2020,0,906,8,3,10,17.2,6.447,normal
1,4,0,2,3,0,3,371,12,8408,0,0,0,6,5.729,spam
1.2,2.6,0.8,1.8,61,243,0.251029,379,8,9429,1,1,6,9,8.311,spam
1,1,0,1.8,5,5,1,404,0,741,11,4,9,17,6.39,normal
1,4.571429,0,1.71,91,183,0.497268,427,2,15250,9,3,9,12.286,10.747,normal
0.857143,6.142857,0,1.71,3910,3617,1.081006,648,11,14007,5,7,27,23.143,6.34,normal
1,1.5,0,1.67,141,1,141,459,0,5984,3,5,6,10.667,8.339,normal
1,5.166667,0,1.67,4,101,0.039604,1025,0,20743,3,0,2,6.833,7.373,normal
1,4.333333,1.166667,1.67,968,1333,0.726182,817,5,34900,4,1,3,12.167,8.332,spam
3,2.166667,2,1.67,0,0,0,301,1,230,6,4,10,14.833,8.179,spam
1,3,125,1.63,4,101,0.039604,1025,0,20743,2,1,6,7.125,6.083,normal
3.2,1,0.8,1.6,24753,23921,1.034781,1152,732,299542,2,2,10,11.2,9.886,normal
2.8,3.3,1.5,1.6,2792,4495,0.621135,2169,451,244536,11,5,30,17.3,6.639,spam
2.2,3.6,1.2,1.6,2792,4495,0.621135,2169,451,244536,5,2,16,19.6,6.135,spam
1.4,1.2,0.2,1.6,190,48,3.958333,427,0,6955,6,2,13,14.6,5.43,normal
1.1,1,0.3,1.6,559,735,0.760544,437,27,69572,9,1,17,15.6,6.771,normal
3,1,1.6,1.6,3089,609,5.07225,528,1524,106385,2,0,7,14.4,8.26,spam
3,0.2,2,1.6,234,4,58.5,541,14,30306,3,0,1,8.4,9.437,spam
3,2.2,2,1.6,8,0,8,310,3,725,2,1,7,13.6,8.768,aggressive
1,1,0.166667,1.5,20,160,125,368,1,782,5,3,16,13.333,8.092,normal
1,1,0.333333,1.5,20,160,125,368,1,782,10,4,20,15.667,5.966,normal
1,5.444444,1,1.44,1,48,0.020833,302,0,16,3,6,18,11.333,9.19,spam
1,4.714286,0.285714,1.43,124,1125,0.110222,406,12,8166,3,5,4,12.286,6.947,normal
3,2.571429,2,1.43,0,0,0,301,1,86,8,2,14,15.429,7.888,spam
1.2,0.6,0.8,1.4,95,71,1.338028,480,10,7139,4,4,15,18.2,6.914,normal
4.4,1.4,0.6,1.4,527,53,9.943396,2087,430,6685,3,3,9,17.2,6.757,normal
1,0.8,0,1.4,560,95,5.894737,711,12,34261,3,4,18,17.6,6.285,normal
3.4,2.8,1.6,1.4,2792,4495,0.621135,2169,451,244536,0,2,13,17,6.8,spam
2.2,3.6,1.6,1.4,1042,2929,0.355753,562,250,85895,4,1,13,17.8,7.132,spam
1,1.6,0.6,1.4,9,15,0.6,1143,0,69,4,3,6,8,8.777,normal
1,2.4,0.6,1.4,30,127,0.23622,362,0,5965,1,4,8,9,7.63,normal
1,0.6,0.2,1.4,59,23,2.565217,420,0,876,2,5,11,12.4,6.774,normal
2,1.2,0,1.4,104165,82246,1.266505,2553,758,104009,2,1,10,15.2,5.667,normal
1,3.5,125,1.38,6339,356,17.80618,1510,22,116723,5,6,28,16.25,6.66,normal
1,2125,0.75,1.38,3,46,0.065217,363,0,228,1,5,9,10.875,8.421,normal
2,0.666667,0.833333,1.33,945,1203,0.785536,1584,64,15558,4,4,7,10,9.229,normal
1,2.666667,0.166667,1.33,10339,3014,3.430325,1047,124,102931,4,3,19,12.5,6.894,normal
2.888889,2.777778,1,1.33,2792,4495,0.621135,2169,451,244536,7,1,34,17.111,7.092,spam
1,3.555556,0,1.33,4,101,0.039604,1025,0,20743,1,0,1,6,6.397,spam
3,0,1.833333,1.33,1,3,0.333333,317,0,176,7,4,13,15.333,7.365,spam
1,0.833333,0.166667,1.33,174,738,0.235772,381,0,10360,9,5,8,14.667,9.965,normal
1,2.833333,1,1.33,0,0,0,362,0,27,3,2,8,11.5,9.118,normal
1,9.25,0,1.25,3,0,3,371,12,8408,0,0,0,11,3.619,spam
1,3.5,0,1.25,174,738,0.235772,381,0,10360,3,1,5,10,11.63,normal
1.25,5125,875,1.25,0,0,0,362,0,27,10,9,13,13.875,8.408,normal
1,2.555556,0,1.22,3,0,3,371,12,8408,1,0,0,5.222,6.974,spam
1.2,2.2,1,1.2,1593,1720,0.926163,653,38,18774,6,10,16,14.8,6.69,normal
1.2,3.6,0.6,1.2,560,95,5.894737,711,12,34261,5,1,9,16.6,11.595,normal
1,3.6,0.4,1.2,1236,3108,0.397683,477,2,2949,2,5,22,17.8,5.402,normal
1.1,1.4,0.4,1.2,172,770,0.223377,2716,4,13969,4,5,17,10.6,8.122,normal
1.2,2,0.2,1.2,640,874,0.732265,2324,4,1232,3,2,15,14.4,5.775,normal
1,0.4,0.2,1.2,41,261,0.157088,1582,0,7955,2,1,10,11.4,8.264,normal
1,0.9,0.5,1.2,559,735,0.760544,437,27,69572,4,1,11,10.4,7.698,normal
1,1.6,1,1.2,78,148,0.527027,1496,4,15472,4,2,8,9.6,10.75,normal
1,5,0.2,1.2,22,56,0.392857,2677,2,3224,3,1,4,10,7.179,normal
1.9,3.6,0.3,1.2,46,47,0.978723,652,25,43553,3,2,12,11,9.698,normal
1,0.4,0.2,1.2,77,128,0.601563,383,3,9140,6,5,22,13.5,6.755,normal
1.1,1.1,0.3,1.2,13,23,0.565217,377,1,1265,3,1,5,12,6.417,normal
1,1.8,0.2,1.2,174,738,0.235772,381,0,10360,3,2,8,13,8.058,normal
3,0.4,2,1.2,50,65,0.769231,213,34,3119,13,3,9,13.5,10.12,spam
1,1.6,0,1.2,37774,28511,1.324892,2541,2726,271172,8,2,25,24.6,4.354,normal
1,0.833333,0.166667,1.17,13,23,0.565217,377,1,1265,3,3,13,16.167,6.538,normal
0.833333,1.666667,0.333333,1.17,104,144,0.722222,399,3,6133,6,1,11,12,8.879,normal
2.857143,2.857143,1,1.14,2792,4495,0.621135,2169,451,244536,4,1,21,17.143,6.097,spam
1.142857,1.142857,0.571429,1.14,968,1333,0.726182,817,5,34900,4,2,11,15.143,7.101,normal
1.142857,1.714286,0.428571,1.14,224,362,0.618785,2315,2,11519,6,1,15,14.714,6.446,normal
1,1.142857,0.285714,1.14,174,738,0.235772,381,0,10360,7,0,2,9.429,10.64,normal
1,4875,375,1.13,560,95,5.894737,711,12,34261,6,3,8,14,9.451,normal
1,3,125,1.13,41,261,0.157088,1582,0,7955,3,5,14,11.625,7.225,normal
1,2.25,625,1.13,968,1333,0.726182,817,5,34900,4,1,5,9.125,8.972,normal
1125,2125,0,1.13,37774,28511,1.324892,2541,2726,271172,6,10,41,23.625,4.342,normal
1,1.333333,0.222222,1.11,104,144,0.722222,399,3,6133,3,1,8,8.667,8.041,normal
3.8,1.6,0.8,1.1,660,609,1.083744,995,105,129034,0,2,4,10.2,12.958,normal
1,0.9,0.5,1.1,49,114,0.429825,387,1,3518,7,5,9,9.5,8.322,normal
1.1,1.6,0.4,1.1,18,7,2.571429,364,8,15536,3,1,9,9.8,7.682,normal
1.142857,0.571429,1,1,17,29,0.586207,2675,0,1993,2,3,15,15.857,7.385,aggressive
1,0,1,1,71,77,0.922078,2094,0,6059,3,5,17,13.5,8.161,normal
1,6.6,0.4,1,560,95,5.894737,711,12,34261,6,6,7,15.2,11.674,normal
0.777778,1,0.333333,1,42,415,0.101205,1136,0,1502,8,11,21,15.556,6.6,normal
2.428571,1.428571,1,1,24753,23921,1.034781,1152,732,299542,6,1,13,16.286,6.716,normal
1,2.6,0.2,1,1473,1914,0.769592,522,1,4991,2,1,12,12,5.708,normal
3125,2875,1.25,1,2792,4495,0.621135,2169,451,244536,4,2,20,16.625,6.88,spam
1,11,1,1,1792,882,2.031746,1991,6,25432,6,0,6,15,13.178,spam
3.9,2.4,1,1,660,609,1.083744,994,105,129034,1,2,6,12.1,9.739,aggressive
1.7,0.8,0.7,1,660,609,1.083744,994,105,129034,5,0,5,11.7,10.879,aggressive
1.2,2.2,0.8,1,1043,359,2.905292,397,3,10333,0,0,0,11,6.398,spam
2.142857,3.428571,0.428571,1,1364,1309,1.042017,1583,12,25160,4,4,8,15,6.011,normal
1,1.4,0.2,1,167,109,1.53211,1366,1,14571,5,0,4,15.2,6.292,normal
1,2.2,0.2,1,167,109,1.53211,1366,1,14571,5,0,6,15,6.727,normal
1,1.428571,0.285714,1,190,48,3.958333,427,0,6955,3,4,14,15.429,5.238,spam
